2019-10-16 21:49:46 status installed libaudit-common:all 1:2.8.5-2ubuntu1
2019-10-16 21:49:46 configure libsemanage-common:all 2.9-3 <none>
2019-10-16 21:49:46 status unpacked libsemanage-common:all 2.9-3
2019-10-16 21:49:46 status half-configured libsemanage-common:all 2.9-3
2019-10-16 21:49:46 status installed libsemanage-common:all 2.9-3
2019-10-16 21:49:46 configure ncurses-base:all 6.1+20190803-1ubuntu1 <none>
2019-10-16 21:49:46 status unpacked ncurses-base:all 6.1+20190803-1ubuntu1
2019-10-16 21:49:46 status half-configured ncurses-base:all 6.1+20190803-1ubuntu1
2019-10-16 21:49:46 status installed ncurses-base:all 6.1+20190803-1ubuntu1
2019-10-16 21:49:46 configure sensible-utils:all 0.0.12 <none>
2019-10-16 21:49:46 status unpacked sensible-utils:all 0.0.12
2019-10-16 21:49:46 status half-configured sensible-utils:all 0.0.12
2019-10-16 21:49:46 status installed sensible-utils:all 0.0.12
2019-10-16 21:49:46 configure gcc-9-base:amd64 9.2.1-9ubuntu2 <none>
2019-10-16 21:49:46 status unpacked gcc-9-base:amd64 9.2.1-9ubuntu2
2019-10-16 21:49:46 status half-configured gcc-9-base:amd64 9.2.1-9ubuntu2
2019-10-16 21:49:46 status installed gcc-9-base:amd64 9.2.1-9ubuntu2
2019-10-16 21:49:46 configure libc6:amd64 2.30-0ubuntu2 <none>
2019-10-16 21:49:46 status unpacked libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:46 status half-configured libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:46 status installed libc6:amd64 2.30-0ubuntu2
2019-10-16 21:49:46 configure libudev1:amd64 242-7ubuntu3 <none>
2019-10-16 21:49:46 status unpacked libudev1:amd64 242-7ubuntu3
2019-10-16 21:49:46 status half-configured libudev1:amd64 242-7ubuntu3
2019-10-16 21:49:46 status installed libudev1:amd64 242-7ubuntu3
2019-10-16 21:49:46 configure libsepol1:amd64 2.9-2 <none>
2019-10-16 21:49:46 status unpacked libsepol1:amd64 2.9-2
2019-10-16 21:49:46 status half-configured libsepol1:amd64 2.9-2
2019-10-16 21:49:46 status installed libsepol1:amd64 2.9-2
2019-10-16 21:49:46 configure libattr1:amd64 1:2.4.48-4 <none>
2019-10-16 21:49:46 status unpacked libattr1:amd64 1:2.4.48-4
2019-10-16 21:49:46 status half-configured libattr1:amd64 1:2.4.48-4
2019-10-16 21:49:46 status installed libattr1:amd64 1:2.4.48-4
2019-10-16 21:49:46 configure debianutils:amd64 4.8.6.3 <none>
2019-10-16 21:49:46 status unpacked debianutils:amd64 4.8.6.3
2019-10-16 21:49:46 status half-configured debianutils:amd64 4.8.6.3
2019-10-16 21:49:46 status installed debianutils:amd64 4.8.6.3
2019-10-16 21:49:46 configure mawk:amd64 1.3.3-17ubuntu3 <none>
2019-10-16 21:49:46 status unpacked mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:46 status half-configured mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:46 status installed mawk:amd64 1.3.3-17ubuntu3
2019-10-16 21:49:46 configure libdebconfclient0:amd64 0.249ubuntu1 <none>
2019-10-16 21:49:46 status unpacked libdebconfclient0:amd64 0.249ubuntu1
2019-10-16 21:49:46 status half-configured libdebconfclient0:amd64 0.249ubuntu1
2019-10-16 21:49:46 status installed libdebconfclient0:amd64 0.249ubuntu1
2019-10-16 21:49:46 configure base-files:amd64 10.2ubuntu7 <none>
2019-10-16 21:49:46 status unpacked base-files:amd64 10.2ubuntu7
2019-10-16 21:49:46 status half-configured base-files:amd64 10.2ubuntu7
2019-10-16 21:49:46 status installed base-files:amd64 10.2ubuntu7
2019-10-16 21:49:46 configure libbz2-1.0:amd64 1.0.6-9.2 <none>
2019-10-16 21:49:46 status unpacked libbz2-1.0:amd64 1.0.6-9.2
2019-10-16 21:49:46 status half-configured libbz2-1.0:amd64 1.0.6-9.2
2019-10-16 21:49:46 status installed libbz2-1.0:amd64 1.0.6-9.2
2019-10-16 21:49:46 configure base-passwd:amd64 3.5.46 <none>
2019-10-16 21:49:46 status unpacked base-passwd:amd64 3.5.46
2019-10-16 21:49:46 status half-configured base-passwd:amd64 3.5.46
2019-10-16 21:49:46 status installed base-passwd:amd64 3.5.46
2019-10-16 21:49:46 configure libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1 <none>
2019-10-16 21:49:46 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:47 status half-configured libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:47 status installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu1
2019-10-16 21:49:47 configure libblkid1:amd64 2.34-0.1ubuntu2 <none>
2019-10-16 21:49:47 status unpacked libblkid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:47 status half-configured libblkid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:47 status installed libblkid1:amd64 2.34-0.1ubuntu2
2019-10-16 21:49:47 configure libtinfo6:amd64 6.1+20190803-1ubuntu1 <none>
2019-10-16 21:49:47 status unpacked libtinfo6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:47 status half-configured libtinfo6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:47 status installed libtinfo6:amd64 6.1+20190803-1ubuntu1
2019-10-16 21:49:47 configure bash:amd64 5.0-4ubuntu1 <none>
2019-10-16 21:49:47 status unpacked bash:amd64 5.0-4ubuntu1
2019-10-16 21:49:47 status half-configured bash:amd64 5.0-4ubuntu1
